PET,TEXT,text_name,condition,domain,Sent_id,keystrokes,time,productivity (chr/s),num_major,num_minor,num_characters,highlight_ratio,prc_sugg_accepted,tags_edited,prc_crit_err_fixed,How difficult to translate was the source text?,How good was the quality of MT?,How useful were the error annotations? ,How accurate were the error annotations? ,How useful were the translation suggestions? ,How accurate were the translation suggestions? ,MT_DA,MT_spans,MT_severity,HT_DA,HT_spans,HT_severity
1,Text 1,news_pa.5274,1,news,1,17,23.747,1.2027,0,0,92,0,N/A,,1,Somewhat difficult,Good,nan,nan,nan,nan,75,['in een keerpunt'],['Minor'],100,[],[]
1,Text 1,news_pa.5274,1,news,2,36,80.881,1.2027,0,0,202,0,N/A,,1,Somewhat difficult,Good,nan,nan,nan,nan,75,"['notering en handel van', 'Bitcoin ', 'Bitcoin ']","['Minor', 'Minor', 'Minor']",75,['maar we hebben Bitcoin niet goedgekeurd of aanbevolen'],['Minor']
1,Text 1,news_pa.5274,1,news,3,13,64.219,1.2027,0,0,208,0,N/A,,1,Somewhat difficult,Good,nan,nan,nan,nan,33,['impliceerde'],['Major'],100,[],[]
1,Text 1,news_pa.5274,1,news,4,10,39.203,1.2027,0,0,256,0,N/A,,1,Somewhat difficult,Good,nan,nan,nan,nan,75,['financiële'],['Major'],90,['financiële'],['Minor']
1,Text 1,news_pa.5274,1,news,5,18,94.913,1.2027,0,0,223,0,N/A,,1,Somewhat difficult,Good,nan,nan,nan,nan,50,"['geloven ', 'actief ']","['Minor', 'Major']",75,"['zeer ', 'geloven ', 'het actief zullen doen toenemen']","['Minor', 'Minor', 'Minor']"
1,Text 1,news_pa.5274,1,news,6,21,156.342,1.2027,0,0,523,0,N/A,,1,Somewhat difficult,Good,nan,nan,nan,nan,33,"[""'Met de flagrant onwettige crypto-industrie die ten onder gaat door een berg aan arrestaties, strafrechtelijke veroordelingen, faillissementen, rechtszaken, schandalen, enorme verliezen en miljoenen investeerders en klanten die slachtoffer zijn geworden, had je niet gedacht"", 'Main Street Amerikanen', 'bekend ']","['Minor', 'Major', 'Minor']",50,"[""'Met de flagrant onwettige crypto-industrie die ten onder gaat door een berg aan arrestaties, strafrechtelijke veroordelingen, faillissementen, rechtszaken, schandalen, enorme verliezen en miljoenen investeerders en klanten die slachtoffer zijn geworden, had je niet gedacht "", 'bekend ', 'bedrieglijk ']","['Minor', 'Minor', 'Minor']"
1,Text 2,doc13,1,medical,1,37,38.38,1.0063,0,0,104,0,N/A,,0,Somewhat difficult,Fair,nan,nan,nan,nan,100,[],[],75,['geriatrisch co-management'],['Minor']
1,Text 2,doc13,1,medical,2,0,11.838,1.0063,0,0,174,0,N/A,,0,Somewhat difficult,Fair,nan,nan,nan,nan,100,[],[],100,[],[]
1,Text 2,doc13,1,medical,3,12,53.797,1.0063,0,0,225,0,N/A,,0,Somewhat difficult,Fair,nan,nan,nan,nan,75,['inheemse '],['Minor'],100,[],[]
1,Text 2,doc13,1,medical,4,19,61.43,1.0063,0,0,106,0,N/A,,0,Somewhat difficult,Fair,nan,nan,nan,nan,90,"[""pati�nten'met'"", 'met ']","['Minor', 'Minor']",90,['bij '],['Minor']
1,Text 2,doc13,1,medical,5,69,133.088,1.0063,0,0,287,0,N/A,,0,Somewhat difficult,Fair,nan,nan,nan,nan,75,"['meer ', 'overbrengbaarheid']","['Minor', 'Minor']",100,[],[]
1,Text 2,doc13,1,medical,6,27,87.229,1.0063,0,0,229,0,N/A,,0,Somewhat difficult,Fair,nan,nan,nan,nan,90,['belangrijkste '],['Minor'],100,[],[]
1,Text 2,doc13,1,medical,7,27,104.746,1.0063,0,0,297,0,N/A,,0,Somewhat difficult,Fair,nan,nan,nan,nan,75,"['Orthogeriatrische ', 'inheemse ']","['Minor', 'Minor']",100,[],[]
1,Text 2,doc13,1,medical,8,23,28.169,1.0063,0,0,168,0,N/A,,0,Somewhat difficult,Fair,nan,nan,nan,nan,75,['dergelijke medebeheer '],['Minor'],100,[],[]
1,Text 3,news_scotsman.87462,2,news,1,105,85.847,0.8212,2,0,111,0.2072,N/A,'omworstelaars'; 'steak pies',1,Neutral,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan,33,"['omworstelaars', 'maar niet de prijzen']","['Major', 'Major']",33,['Het bedrijf FTSE 250'],['Major']
1,Text 3,news_scotsman.87462,2,news,2,39,32.574,0.8212,1,0,206,0.0728,N/A,'kers op de hoek',1,Neutral,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan,50,['een keten van bakkers op de hoek'],['Major'],80,['met name buiten het centrum'],['Minor']
1,Text 3,news_scotsman.87462,2,news,3,10,52.977,0.8212,1,1,222,0.2568,N/A,'de PA dat er'momenteel plannen zijn' om',1,Neutral,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan,25,"['de ', 'de PA', ""'momenteel plannen zijn'"", ' prijzen aan de kassa ']","['Minor', 'Major', 'Major', 'Minor']",100,"['dealgemeen ', 'prijzen aan de kassa']","['Major', 'Minor']"
1,Text 3,news_scotsman.87462,2,news,4,62,90.833,0.8212,2,1,133,0.2481,N/A,'onderneming'; 'op een netto basis',1,Neutral,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan,75,['om klanten toegang tot zijn winkels te bieden'],['Minor'],32,"['Het bedrijf FTSE 250 ', 'om klanten gemakkelijker toegang tot zijn winkels te bieden']","['Major', 'Minor']"
1,Text 3,news_scotsman.87462,2,news,5,57,60.959,0.8212,1,0,118,0.0339,N/A,'reis',1,Neutral,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan,66,['winkelparken'],['Minor'],75,"['reisbestemmingen ', 'in ']","['Minor', 'Minor']"
1,Text 3,news_scotsman.87462,2,news,6,208,179.681,0.8212,3,0,258,0.0814,N/A,'pudding'; 'kerstpudding'; 'ba',1,Neutral,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan,66,"['steakpudding ', 'chocolade-oranje muffin']","['Minor', 'Major']",100,[],[]
1,Text 3,news_scotsman.87462,2,news,7,85,151.09,0.8212,2,3,220,0.2727,N/A,'punten'; 'betaalbare traktatie'; 'enten niet onder druk staan',1,Neutral,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan,25,"['belangrijkste ', 'traktatie ', 'niet onder druk']","['Minor', 'Major', 'Major']",90,['MISSING'],['Minor']
1,Text 4,doc18,2,medical,1,40,56.058,0.8729,1,1,195,0.159,N/A,'uitkomst helpt niet',1,Somewhat difficult,Insufficient,Neutral,Not accurate nor inaccurate,nan,nan,33,"['niet ', 'uitkomst ']","['Major', 'Minor']",90,['gevolgen '],['Minor']
1,Text 4,doc18,2,medical,2,67,131.812,0.8729,0,1,198,0.0101,N/A,'en',1,Somewhat difficult,Insufficient,Neutral,Not accurate nor inaccurate,nan,nan,50,"['MISSING', 'de cognitieve uitkomsten']","['Major', 'Major']",100,[],[]
1,Text 4,doc18,2,medical,3,272,362.196,0.8729,1,7,467,0.1906,N/A,'VPT-prematuren'; 'tional age < 32'; 's'; 'mentale verwerkingscomposiet'; 'onderzoek',1,Somewhat difficult,Insufficient,Neutral,Not accurate nor inaccurate,nan,nan,66,"['VPT-prematuren', 'gestational age', 'basisgegevens van pasgeborenen']","['Minor', 'Minor', 'Minor']",90,['opgevolgd'],['Minor']
1,Text 4,doc18,2,medical,4,36,22.279,0.8729,1,3,86,0.7558,N/A,'jarige zuigelingen die VPT-geboren waren',1,Somewhat difficult,Insufficient,Neutral,Not accurate nor inaccurate,nan,nan,50,"['5-jarige zuigelingen', 'VPT-geboren waren']","['Major', 'Minor']",75,['termijncontroles'],['Minor']
1,Text 4,doc18,2,medical,5,20,47.065,0.8729,2,4,162,0.4074,N/A,'jarige zuigelingen'; 'VPT',1,Somewhat difficult,Insufficient,Neutral,Not accurate nor inaccurate,nan,nan,50,['5-jarige zuigelingen die VPT geboren waren'],['Major'],75,['termijncontroles '],['Minor']
1,Text 4,doc18,2,medical,6,3,24.354,0.8729,0,4,94,0.5319,N/A,'de variantie van de',1,Somewhat difficult,Insufficient,Neutral,Not accurate nor inaccurate,nan,nan,100,[],[],80,['verklaarden'],['Minor']
1,Text 4,doc18,2,medical,7,19,8.23,0.8729,0,2,117,0.1709,N/A,'uitkomst',1,Somewhat difficult,Insufficient,Neutral,Not accurate nor inaccurate,nan,nan,90,['0.6'],['Minor'],90,['0.6'],['Minor']
1,Text 5,news_seattle_times.799809,3,news,1,79,54.28,1.621,0,2,46,0.5217,N/A,'Geef'; 'WA opnieuw toezicht.',0.5,Somewhat easy,Very good,Somewhat useful,Not accurate nor inaccurate,nan,nan,50,"['Geef ', ' opnieuw toezicht.', 'WA ']","['Major', 'Minor', 'Minor']",100,[],[]
1,Text 5,news_seattle_times.799809,3,news,2,0,0,1.621,0,2,82,0.4878,N/A,,0.5,Somewhat easy,Very good,Somewhat useful,Not accurate nor inaccurate,nan,nan,60,['crisis van overlijdensgevallen'],['Minor'],60,['crisis van overlijdensgevallen'],['Minor']
1,Text 5,news_seattle_times.799809,3,news,3,2,35.819,1.621,0,1,295,0.0339,N/A,,0.5,Somewhat easy,Very good,Somewhat useful,Not accurate nor inaccurate,nan,nan,90,[],[],85,['covoorzitters '],['Minor']
1,Text 5,news_seattle_times.799809,3,news,4,9,12.896,1.621,0,3,162,0.1543,N/A,'De',0.5,Somewhat easy,Very good,Somewhat useful,Not accurate nor inaccurate,nan,nan,80,['beleidsbeslissingen'],['Minor'],90,['beleidsbeslissingen'],['Minor']
1,Text 5,news_seattle_times.799809,3,news,5,35,53.687,1.621,0,0,112,0,N/A,,0.5,Somewhat easy,Very good,Somewhat useful,Not accurate nor inaccurate,nan,nan,100,[],[],100,[],[]
1,Text 5,news_seattle_times.799809,3,news,6,44,56.617,1.621,0,2,304,0.1118,N/A,'mensen worden verwond.',0.5,Somewhat easy,Very good,Somewhat useful,Not accurate nor inaccurate,nan,nan,75,"['uit de eerste hand ', 'communiceren ', 'worden verwond']","['Minor', 'Minor', 'Minor']",90,['communiceren '],['Minor']
1,Text 5,news_seattle_times.799809,3,news,7,38,120.956,1.621,0,5,303,0.1782,N/A,"'bureau'; 'gevangenissen, op basis van gegevens.'",0.5,Somewhat easy,Very good,Somewhat useful,Not accurate nor inaccurate,nan,nan,80,"['het publiek', 'op basis van gegevens.']","['Minor', 'Minor']",80,"['het publiek', 'datagestuurde oplossingen voor gevangenisdoden ']","['Minor', 'Minor']"
1,Text 5,news_seattle_times.799809,3,news,8,2,89.754,1.621,0,0,275,0,N/A,,0.5,Somewhat easy,Very good,Somewhat useful,Not accurate nor inaccurate,nan,nan,80,"['herkende ', ' te bieden']","['Minor', 'Minor']",90,"['te bieden', 'erkende ']","['Minor', 'Minor']"
1,Text 6,doc20,3,medical,1,65,32.731,1.2293,0,0,81,0,N/A,,1,Neutral,Very good,Somewhat useful,Somewhat accurate,nan,nan,100,[],[],100,[],[]
1,Text 6,doc20,3,medical,2,11,29.265,1.2293,0,3,102,0.1863,N/A,'is'; 'apparatuurkosten.',1,Neutral,Very good,Somewhat useful,Somewhat accurate,nan,nan,100,[],[],100,[],[]
1,Text 6,doc20,3,medical,3,80,68.892,1.2293,0,1,128,0.1328,N/A,,1,Neutral,Very good,Somewhat useful,Somewhat accurate,nan,nan,66,['groei van deze '],['Major'],100,[],[]
1,Text 6,doc20,3,medical,4,0,12.072,1.2293,0,0,143,0,N/A,,1,Neutral,Very good,Somewhat useful,Somewhat accurate,nan,nan,100,[],[],100,[],[]
1,Text 6,doc20,3,medical,5,61,95.766,1.2293,0,0,132,0,N/A,,1,Neutral,Very good,Somewhat useful,Somewhat accurate,nan,nan,66,['waarden en leerbehoeften van studenten '],['Major'],100,[],[]
1,Text 6,doc20,3,medical,6,12,14.95,1.2293,0,2,111,0.0811,N/A,'sleutel',1,Neutral,Very good,Somewhat useful,Somewhat accurate,nan,nan,66,"['sleutel uitdaging', 'medische didactiek']","['Minor', 'Minor']",66,[],[]
1,Text 6,doc20,3,medical,7,0,10.352,1.2293,0,4,95,0.3158,N/A,,1,Neutral,Very good,Somewhat useful,Somewhat accurate,nan,nan,33,['medische praktijken'],['Major'],100,[],[]
1,Text 6,doc20,3,medical,8,12,13.579,1.2293,0,0,60,0,N/A,,1,Neutral,Very good,Somewhat useful,Somewhat accurate,nan,nan,100,[],[],33,['medische praktijken'],['Major']
1,Text 6,doc20,3,medical,9,11,33.928,1.2293,0,7,212,0.4292,N/A,'Als'; 'de',1,Neutral,Very good,Somewhat useful,Somewhat accurate,nan,nan,51,"['onder de knie zijn', 'artsen in noodsituaties']","['Minor', 'Major']",66,"['Als de EMPoCUS-vaardigheden onder de knie zijn, moeten spoedartsen']",['Minor']
1,Text 6,doc20,3,medical,10,25,43.714,1.2293,0,0,293,0,N/A,,1,Neutral,Very good,Somewhat useful,Somewhat accurate,nan,nan,66,['variabele controle'],['Minor'],100,[],[]
1,Text 7,news_seattle_times.800119,4,news,2,1,59.367,1.1893,1,0,104,0.0288,100,'een',1,Somewhat easy,Fair,Somewhat useful,Somewhat accurate,Somewhat useful,Somewhat accurate,66,['u vliegt in een Boeing 737 MAX'],['Minor'],66,['u vliegt in een Boeing 737 MAX'],['Minor']
1,Text 7,news_seattle_times.800119,4,news,3,37,80.412,1.1893,0,5,300,0.13,20,'geparkeerd'; 'zien',1,Somewhat easy,Fair,Somewhat useful,Somewhat accurate,Somewhat useful,Somewhat accurate,0,['een '],['Major'],75,[],[]
1,Text 7,news_seattle_times.800119,4,news,4,1,23.632,1.1893,1,0,86,0.0581,100,' niet',1,Somewhat easy,Fair,Somewhat useful,Somewhat accurate,Somewhat useful,Somewhat accurate,33,"['geparkeerd ', 'explosie van de romp', 'ze zullen nemen']","['Major', 'Minor', 'Minor']",75,"['van de romp', 'zullen nemen', 'modellen ']","['Minor', 'Minor', 'Minor']"
1,Text 7,news_seattle_times.800119,4,news,5,32,141.809,1.1893,0,6,190,0.2526,100,'is'; 'opgenomen'; 'vermelding'; 'uitgebreid'; 'staat dit vermeld',1,Somewhat easy,Fair,Somewhat useful,Somewhat accurate,Somewhat useful,Somewhat accurate,100,[],[],100,[],[]
1,Text 7,news_seattle_times.800119,4,news,6,20,27.343,1.1893,0,1,193,0.0725,0,,1,Somewhat easy,Fair,Somewhat useful,Somewhat accurate,Somewhat useful,Somewhat accurate,66,"['uitgebreid ', 'individuele ']","['Major', 'Minor']",90,"[',']",['Minor']
